# Position, FD Concentration, SPH Concentration
1.082164328657314600e+00,1.777819340603532908e-28,4.865864868503178398e-26
1.086172344689378733e+00,7.354845149576909173e-29,2.366825388152586832e-26
1.090180360721442865e+00,3.024729348701425561e-29,1.148021809770433101e-26
1.094188376753506997e+00,1.236596245520314817e-29,5.552949401316626107e-27
1.098196392785571129e+00,5.025729205391580909e-30,2.678543618513448331e-27
1.102204408817635262e+00,2.030492305365866301e-30,1.288507019110290287e-27
1.106212424849699394e+00,8.155227192868567470e-31,6.181578676409351050e-28
1.110220440881763526e+00,3.256151381309982184e-31,2.957657676898434037e-28
1.114228456913827658e+00,1.292433705851302687e-31,1.411378545083586129e-28
1.118236472945891791e+00,5.099745361995231332e-32,6.717339213405430406e-29
1.122244488977955923e+00,2.000444940256470018e-32,3.188747553128268752e-29
1.126252505010020055e+00,7.800886860399323503e-33,1.509812001113963686e-29
1.130260521042083965e+00,3.024140728051673751e-33,7.130436762417796021e-30
1.134268537074148098e+00,1.165472514114328696e-33,3.359003278117781987e-30
1.138276553106212230e+00,4.465246911531776489e-34,1.578396585357812815e-30
1.142284569138276362e+00,1.700723503817995769e-34,7.398496734968661715e-31
1.146292585170340494e+00,6.439737017037812410e-35,3.459414434417406259e-31
1.150300601202404627e+00,2.424097759282455205e-35,1.613628008099433215e-31
1.154308617234468759e+00,9.071541821434672464e-36,7.508545474311832872e-32
1.158316633266532891e+00,3.374912105060239193e-36,3.485535222424607536e-32
1.162324649298597024e+00,1.248232875019387719e-36,1.614187505435212485e-32
1.166332665330661156e+00,4.589675360626068224e-37,7.457938190270897719e-33
1.170340681362725288e+00,1.677733344015856144e-37,3.437741292921005038e-33
1.174348697394789420e+00,6.097052572692803862e-38,1.580980116409044478e-33
1.178356713426853553e+00,2.202796623288571102e-38,7.254166166750186641e-34
1.182364729458917685e+00,7.912026791729714368e-39,3.320973496381860059e-34
1.186372745490981817e+00,2.825279454427660519e-39,1.516941945050580610e-34
1.190380761523045949e+00,1.002990505663584474e-39,6.913641432429063497e-35
1.194388777555110082e+00,3.539936067983970315e-40,3.144037117735086506e-35
1.198396793587174214e+00,1.242105949619784813e-40,1.426657950945131955e-35
1.202404809619238346e+00,4.332992491665876490e-41,6.459691628768897433e-36
1.206412825651302478e+00,1.502743124887816294e-41,2.918580451013274462e-36
1.210420841683366611e+00,5.181440709600419524e-42,1.315853757137678094e-36
1.214428857715430743e+00,1.776179039450954148e-42,5.920081085218661888e-37
1.218436873747494875e+00,6.053336696315318863e-43,2.657906201557416443e-37
1.222444889779559007e+00,2.051050078514469606e-43,1.190834453036621898e-37
1.226452905811623140e+00,6.909275427980681533e-44,5.324398452383253724e-38
1.230460921843687272e+00,2.314008884688038540e-44,2.375771602706390545e-38
1.234468937875751404e+00,7.705046864827032367e-45,1.057940552543863235e-38
1.238476953907815536e+00,2.550731624835390240e-45,4.701621192890296172e-39
1.242484969939879669e+00,8.395275359053007660e-46,2.085312034483292880e-39
1.246492985971943801e+00,2.747181162837936189e-46,9.230785437972717190e-40
1.250501002004007933e+00,8.937649377504025118e-47,4.078096552453650457e-40
1.254509018036072066e+00,2.890975899126230298e-47,1.798185709193566457e-40
1.258517034068136198e+00,9.297201886804019698e-48,7.913646054298472781e-41
1.262525050100200330e+00,2.972680101722465294e-48,3.476085901306820041e-41
1.266533066132264462e+00,9.450041338681889547e-49,1.523992525122754125e-41
1.270541082164328595e+00,2.986828969210994253e-49,6.668992041694695436e-42
1.274549098196392727e+00,9.385979796315950937e-50,2.912923383894316405e-42
1.278557114228456859e+00,2.932533557534607379e-50,1.269976863417658528e-42
1.282565130260520991e+00,9.109656172979987419e-51,5.526710738311972296e-43
1.286573146292585124e+00,2.813572478155790709e-51,2.400756121484539519e-43
1.290581162324649256e+00,8.639982526850273713e-52,1.040988324166801733e-43
1.294589178356713388e+00,2.637957341503585796e-52,4.505740838582859601e-44
1.298597194388777520e+00,8.008004955915626470e-53,1.946771783871059710e-44
1.302605210420841653e+00,2.417041321543733282e-53,8.396498750576837096e-45
1.306613226452905785e+00,7.253514978262493469e-54,3.615110240313773169e-45
1.310621242484969917e+00,2.164308498493114003e-54,1.553784190096478918e-45
1.314629258517034049e+00,6.420924381664390235e-55,6.666706081059248483e-46
1.318637274549098182e+00,1.894022824421979872e-55,2.855544421342183301e-46
1.322645290581162314e+00,5.554994714428384484e-56,1.221037496042093464e-46
1.326653306613226446e+00,1.619923138958180714e-56,5.212390436085284872e-47
1.330661322645290578e+00,4.696983288576853764e-57,2.221355419562806363e-47
1.334669338677354489e+00,1.354125761005245232e-57,9.450996003073048299e-48
1.338677354709418621e+00,3.881645752320863592e-58,4.014400435020798502e-48
1.342685370741482753e+00,1.106346698314704952e-58,1.702364221436464139e-48
1.346693386773546885e+00,3.135353946332189590e-59,7.207389321405059471e-49
1.350701402805611018e+00,8.834936429223698588e-60,3.046506745008369263e-49
1.354709418837675150e+00,2.475388369132631937e-60,1.285671027333111906e-49
1.358717434869739282e+00,6.896168547848633746e-61,5.417088638153826318e-50
1.362725450901803415e+00,1.910286628610715583e-61,2.278846916165122804e-50
1.366733466933867547e+00,5.261588684559302592e-62,9.571547873474755490e-51
1.370741482965931679e+00,1.441001688864499082e-62,4.013947032676613709e-51
1.374749498997995811e+00,3.924125305150877036e-63,1.680691859586154311e-51
1.378757515030059944e+00,1.062560269869397301e-63,7.026451473792738449e-52
1.382765531062124076e+00,2.860870221778189583e-64,2.933053180047700926e-52
1.386773547094188208e+00,7.659107555633112422e-65,1.222486663849543322e-52
1.390781563126252340e+00,2.038896387738137541e-65,5.087599837809293579e-53
1.394789579158316473e+00,5.396978310036690491e-66,2.114124883672540322e-53
1.398797595190380605e+00,1.420516454531279471e-66,8.772056252666755711e-54
1.402805611222444737e+00,3.717778375495961636e-67,3.634372152613393797e-54
1.406813627254508869e+00,9.675288205059219213e-68,1.503552812305929621e-54
1.410821643286573002e+00,2.503739049745968399e-68,6.211168495837838795e-55
1.414829659318637134e+00,6.442590207201447326e-69,2.562106874414924504e-55
1.418837675350701266e+00,1.648465265745573573e-69,1.055344863594842126e-55
1.422845691382765398e+00,4.194193814590869831e-70,4.340788800591121009e-56
1.426853707414829531e+00,1.061128911309315993e-70,1.782887018951404321e-56
1.430861723446893663e+00,2.669563845129483546e-71,7.312462737159298126e-57
1.434869739478957795e+00,6.678309532903714881e-72,2.994966015646177844e-57
1.438877755511021928e+00,1.661301281689603532e-72,1.224932576694506100e-57
1.442885771543086060e+00,4.109485333797379853e-73,5.002972761143719682e-58
1.446893787575150192e+00,1.010846481705166388e-73,2.040531604160339794e-58
1.450901803607214324e+00,2.472539636584778066e-74,8.311152757405583907e-59
1.454909819639278457e+00,6.013996422981078403e-75,3.380534921194693558e-59
1.458917835671342589e+00,1.454609661449783255e-75,1.373153968101071372e-59
1.462925851703406721e+00,3.498603480129432218e-76,5.570139510515442721e-60
1.466933867735470853e+00,8.367765238690118723e-77,2.256468473280862968e-60
1.470941883767534986e+00,1.990179790914935752e-77,9.128766908184161773e-61
1.474949899799599118e+00,4.707005982616300386e-78,3.688228867397001857e-61
1.478957915831663250e+00,1.107052850887132691e-78,1.488160273999209269e-61
1.482965931863727382e+00,2.589194503960095374e-79,5.996679132948245048e-62
1.486973947895791515e+00,6.021923947369707476e-80,2.413261002123169489e-62
1.490981963927855647e+00,1.392777281612206489e-80,9.699140144440770794e-63
1.494989979959919779e+00,3.203357789336215477e-81,3.893145791178576998e-63
1.498997995991983911e+00,7.326695415646125315e-82,1.560664639821713708e-63
1.503006012024048044e+00,1.666446162443699501e-82,6.248315652640622120e-64
1.507014028056112176e+00,3.769263025524129581e-83,2.498409931183376773e-64
1.511022044088176308e+00,8.478229179121440974e-84,9.977337886051491916e-65
1.515030060120240440e+00,1.896439330485819919e-84,3.979410585164575344e-65
1.519038076152304573e+00,4.218512989308034526e-85,1.585180477517513935e-65
1.523046092184368705e+00,9.331855456661557734e-86,6.306629836822680110e-66
1.527054108216432837e+00,2.052893076008847336e-86,2.505978617950689532e-66
1.531062124248496970e+00,4.491132908254684345e-87,9.945382056314323722e-67
1.535070140280561102e+00,9.770983306551067696e-88,3.942142629269085906e-67
1.539078156312625012e+00,2.114048539389276539e-88,1.560675358219006413e-67
1.543086172344689144e+00,4.548702035918299998e-89,6.171131256127221640e-68
